CLIENT_ID,REPORT_ID,REGISTRANT_ID,CLIENTENTITY_CD,CLIENT_TITLE,CLIENT_FIRST_NAME,CLIENT_MI,CLIENT_LAST_NAME,CLIENT_SUFFIX,CLIENT_ADR1,CLIENT_ADR2,CLIENT_CITY,CLIENT_STATE,CLIENT_ZIP,BUSINESS_DESC,COMP_CATEGORY,COMP_EXACT_AMOUNT,COMP_COMMENT,Row_ID
C0026,R20170721094806,RG0035,Entity,,,,"Riverside Resources Investments, Ltd.",,100 Congress Avenue,Suite 780,Austin,TX,78701,Property Owner,,,,R20170721094806-C0026
C0027,R20170721094806,RG0035,Entity,,,,SKV-Villas,,111 Congress Avenue,Suite G-190,Austin,TX,78701,Developer,,,,R20170721094806-C0027
C0028,R20170721094806,RG0035,Entity,,,,Telvending Corp.,,1617 Watchhill Road,,Austin,TX,78703,Property Owner,,,,R20170721094806-C0028
C0029,R20170721094806,RG0035,Entity,,,,The Trail Foundation,,P.O. Box 5195,,Austin,TX,78763,Non-Profit Corporation,,,,R20170721094806-C0029
C0005,R20171130160530,RG0132,Entity,,,,"CIRRUS LOGIC, INC",,800 W. 6TH,,AUSTIN,TX,78701,TECHNOLOGY,,,,R20171130160530-C0005
C0008,R20170814103640,RG0081,Entity,,,,Stratford Land,,5949 Sherry Lane,#1750,Dallas,TX,75225,Real Estate Development,,,Disclosure of client compensation is not provided because such disclosure would violate applicable state law in Texas Disciplinary Rule 1.05 and Chapter 81 of the Texas Government Code.,R20170814103640-C0008
C0009,R20170814103640,RG0081,Entity,,,,"Taurus of Texas GP, Inc.",,9285 Huntington Square,,North Richland Hills,TX,76180,Real Estate Development,,,Disclosure of client compensation is not provided because such disclosure would violate applicable state law in Texas Disciplinary Rule 1.05 and Chapter 81 of the Texas Government Code.,R20170814103640-C0009
C0001,R20170814104106,RG0081,Entity,,,,AllPoints Construction Services,,4401 Wallings Forge Drive,,Austin,TX,78727,Real Estate Development,,,Disclosure of client compensation is not provided because such disclosure would violate applicable state law in Texas Disciplinary Rule 1.05 and Chapter 81 of the Texas Government Code.,R20170814104106-C0001
C0002,R20170814104106,RG0081,Entity,,,,"Cadence Ventures Fund, LLC",,11612 FM 2244,"Building 1, Suite 140",Austin,TX,78738,Real Estate Development,,,Disclosure of client compensation is not provided because such disclosure would violate applicable state law in Texas Disciplinary Rule 1.05 and Chapter 81 of the Texas Government Code.,R20170814104106-C0002
C0032,R20170901150800,RG0039,Entity,,,,Victory Medical Center,,4303 Victory Center,,Austin,TX,78704,Medical Services,,,,R20170901150800-C0032
C0033,R20170901150800,RG0039,Individual,,Marcus,,Whitfield,,1101 S. Capital of Texas Hwy,Suite A-101,Austin,TX,78746,Property Owner,,,,R20170901150800-C0033
C0034,R20170901150800,RG0039,Individual,,Jim,C.,Whorton,,1200 Barton Creek Blvd.,Suite 52,Austin,TX,78746,Property Owner,,,,R20170901150800-C0034
C0035,R20170901150800,RG0039,Individual,,Wenkai,,Chen,,8407 Cambria Drive,,Austin,TX,78717,Property Owner,,,,R20170901150800-C0035
C0033,R20170901170011,RG0035,Individual,,Marcus,,Whitfield,,1101 S. Capital of Texas Hwy,Suite A-101,Austin,TX,78746,Property Owner,,,,R20170901170011-C0033
C0077,R20170915102317,RG0061,Entity,,,,MANIFOLD REAL ESTATE,,PO Box 200463,,AUSTIN,TX,78720,REAL ESTATE INVESTMENT/ DEVELOPMENT,,,,R20170915102317-C0077
C0024,R20171017094650,RG0039,Entity,,,,Neal (Shoal Creek Property) Family Limited Partnership,,4501 Ridge Oak Drive,,Austin,TX,78731,Property Owner,,,,R20171017094650-C0024
C0027,R20171101082615,RG0066,Entity,,,,Wells Branch MUD,,3000 Shoreline Dr.,,Austin,TX,78728,Utility District,,,,R20171101082615-C0027
C0042,R20171122114728,RG0057,Entity,,,,"AUSTIN PARK, LLC",,700 12TH STREET,STE 220,GOLDEN,CO,80401,REAL ESTATE INVESTMENT/ DEVELOPMENT,,,,R20171122114728-C0042
C0043,R20171122114728,RG0057,Entity,,,,BLENHEIM CORPORATION,,4716 ST. JOHN'S DR,,DALLAS,TX,75205,REAL ESTATE INVESTMENT/ DEVELOPMENT,,,,R20171122114728-C0043
C0044,R20171122114728,RG0057,Entity,,,,BROCK CONSULTING GROUP,,PO BOX 160340,,AUSTIN,TX,78716,REAL ESTATE INVESTMENT/ DEVELOPMENT,,,,R20171122114728-C0044
C0045,R20171122114728,RG0057,Entity,,,,"CAPRIDGE PARTNERS, LLC",,823 CONGRESS AVE,,AUSTIN,TX,78701,REAL ESTATE INVESTMENT/ DEVELOPMENT,,,,R20171122114728-C0045
C0046,R20171122114728,RG0057,Entity,,,,"CVR SHORELINE, L.P.",,1601 S. MOPAC EXPRESSWAY,STE D-175,AUSTIN,TX,78746,REAL ESTATE INVESTMENT/ DEVELOPMENT,,,,R20171122114728-C0046
C0047,R20171122114728,RG0057,Entity,,,,"CWS CAPITAL PARTNERS, LLC",,9606 N. MOPAC EXPRESSWAY,STE 500,AUSTIN,TX,78759,REAL ESTATE INVESTMENT/ DEVELOPMENT,,,,R20171122114728-C0047
C0048,R20171122114728,RG0057,Entity,,,,DOWNTOWN AUSTIN ALLIANCE,,211 E. 7TH STREET,STE 818,AUSTIN,TX,78701,ADVOCACY ORGANIZATION,,,,R20171122114728-C0048
C0049,R20171122114728,RG0057,Entity,,,,GABLES RESIDENTIAL,,608 AUSTIN CENTER BLVD,,AUSTIN,TX,78751,REAL ESTATE INVESTMENT/ DEVELOPMENT,,,,R20171122114728-C0049
C0050,R20171122114728,RG0057,Entity,,,,HELPING HAND HOME FOR CHILDREN,,3804 AVENUE B,,AUSTIN,TX,78751,NON-PROFIT,,,,R20171122114728-C0050
C0051,R20171122114728,RG0057,Entity,,,,HPI REAL ESTATE & SERVICES INVESTMENT,,3600 N. CAPITAL OF TEXAS HWY,"BLDG B, STE 250",AUSTIN,TX,78746,REAL ESTATE INVESTMENT/ DEVELOPMENT,,,,R20171122114728-C0051
C0052,R20171122114728,RG0057,Entity,,,,LAMBERT,,1316 S. CONGRESS AVE,,AUSTIN,TX,78704,REAL ESTATE INVESTMENT/ DEVELOPMENT,,,,R20171122114728-C0052
C0053,R20171122114728,RG0057,Entity,,,,"MAGELLAN DEVELOPMENT GROUP, LLC",,225 N. COLUMBUS DRIVE,STE 100,CHICAGO,IL,60601,REAL ESTATE INVESTMENT/ DEVELOPMENT,,,,R20171122114728-C0053
C0054,R20171122114728,RG0057,Entity,,,,MEREDITH FAMILY REVOCABLE TRUST,,248 ADDIE ROY RD,STE C200,AUSTIN,TX,78746,REAL ESTATE INVESTMENT/ DEVELOPMENT,,,,R20171122114728-C0054
C0055,R20171122114728,RG0057,Entity,,,,"P & S INVESTMENTS I, LLC",,8208 LONG CANYON,,AUSTIN,TX,78730,REAL ESTATE INVESTMENT/ DEVELOPMENT,,,,R20171122114728-C0055
C0023,R20180221105850,RG0142,Entity,,,,STREAM REALTY,,515 CONGRESS AVE,STE 1300,AUSTIN,TX,78701,REAL ESTATE INVESTMENT/ DEVELOPMENT,,,,R20180221105850-C0023
C0024,R20180221105850,RG0142,Entity,,,,"MVA-916, LLC",,515 CONGRESS AVE,STE 1400,AUSTIN,TX,78701,REAL ESTATE INVESTMENT/ DEVELOPMENT,,,,R20180221105850-C0024
C0025,R20180221105850,RG0142,Entity,,,,"DAVIS WAYNE FS, LLC",,3821 JUNIPER TRACE,STE 207,AUSTIN,TX,78738,REAL ESTATE INVESTMENT/ DEVELOPMENT,,,,R20180221105850-C0025
C0033,R20180221105850,RG0142,Entity,,,,"TITAN CAPITAL INVESTMENT GROUP, LLC",,401 E. CITY AVE,STE 812,BALA CYNWYD,PA,19004,REAL ESTATE INVESTMENT/ DEVELOPMENT,,,,R20180221105850-C0033
C0034,R20180221105850,RG0142,Entity,,,,GOVEIA COMMERCIAL REAL ESTATE,,24855 DEL PRADO,,DANA POINT,CA,92629,REAL ESTATE INVESTMENT/ DEVELOPMENT,,,,R20180221105850-C0034
C0035,R20180221105850,RG0142,Entity,,,,HEB/ CHARLES BUTT (HOLDSWORTH CENTER),,646 SOUTH MAIN,,SAN ANTONIO,TX,78204,EDUCATIONAL CENTER,,,,R20180221105850-C0035
C0036,R20180221105850,RG0142,Entity,,,,"183 BLW, LP",,PO BOX 9190,,AUSTIN,TX,78766,REAL ESTATE INVESTMENT/ DEVELOPMENT,,,,R20180221105850-C0036
C0037,R20180221105850,RG0142,Entity,,,,"2501 W. BRAKER, L.P.",,1601 MOPAC EXPRESSWAY,STE 175,AUSTIN,TX,78746,REAL ESTATE INVESTMENT/ DEVELOPMENT,,,,R20180221105850-C0037
C0030,R20170721094806,RG0035,Entity,,,,Travis County Healthcare District a/k/a Central Health,,1111 E. Cesar Chavez Street,,Austin,TX,78702,Public District - Health Care,,,,R20170721094806-C0030
C0036,R20170901150800,RG0039,Entity,,,,"Krug Development, Inc.",,4866 N. Clark Street,,Chicago,IL,60640,Property Owner,,,,R20170901150800-C0036
C0030,R20170901170011,RG0035,Entity,,,,Travis County Healthcare District a/k/a Central Health,,1111 E. Cesar Chavez Street,,Austin,TX,78702,Public District - Health Care,,,,R20170901170011-C0030
C0087,R20171031124151,RG0052,Entity,,,,Villas of Town Lake,,80 Red River Street,,Austin,TX,78701,Homeowners Association,,,,R20171031124151-C0087
C0003,R20171113152000,RG0061,Entity,,,,KIPP AUSTIN,,8509 FM 969,,AUSTIN,TX,78724,EDUCATION,,,,R20171113152000-C0003
C0014,R20171122114728,RG0057,Entity,,,,CENTURY LAND HOLDINGS LLC,,6500 RIVER PLACE BLVD,,AUSTIN,TX,78730,REAL ESTATE INVESTMENT/ DEVELOPMENT,,,,R20171122114728-C0014
C0015,R20171122114728,RG0057,Entity,,,,EURUS 8701 ATRIUM LLC,,7200 N. MOPAC,STE 450,AUSTIN,TX,78731,REAL ESTATE INVESTMENT/ DEVELOPMENT,,,,R20171122114728-C0015
C0016,R20171122114728,RG0057,Entity,,,,LINCOLN PROPERTY COMPANY,,2000 MCKINNEY AVE,STE 100,DALLAS,TX,75201,REAL ESTATE INVESTMENT/ DEVELOPMENT,,,,R20171122114728-C0016
C0017,R20171122114728,RG0057,Entity,,,,MCHALE,,111 CONGRESS AVE,STE 3000,AUSTIN,TX,78701,REAL ESTATE INVESTMENT/ DEVELOPMENT,,,,R20171122114728-C0017
C0018,R20171122114728,RG0057,Entity,,,,"MU 15 INVESTMENTS, LTD.",,7200 N. MOPAC,STE 450,AUSTIN,TX,78731,REAL ESTATE INVESTMENT/ DEVELOPMENT,,,,R20171122114728-C0018
C0019,R20171122114728,RG0057,Entity,,,,THE KURCEA COMPANY,,7200 N. MOPAC,STE 450,AUSTIN,TX,78731,REAL ESTATE INVESTMENT/ DEVELOPMENT,,,,R20171122114728-C0019
C0020,R20171122114728,RG0057,Entity,,,,VELOCITY CREDIT UNION,,1717 W. 6TH STREET,STE 400,AUSTIN,TX,78703,FINANCIAL INSTITUTION,,,,R20171122114728-C0020
C0021,R20171122114728,RG0057,Entity,,,,"REDLEAF HIGHLAND, LLC",,4015 GUADALUPE ST.,,AUSTIN,TX,78751,REAL ESTATE INVESTMENT/ DEVELOPMENT,,,,R20171122114728-C0021
C0022,R20171122114728,RG0057,Entity,,,,"SEAMLESS CAPITAL, L.P.",,4407 BEE CAVES RD,STE 421,AUSTIN,TX,78746,REAL ESTATE INVESTMENT/ DEVELOPMENT,,,,R20171122114728-C0022
C0023,R20171122114728,RG0057,Entity,,,,STREAM REALTY,,515 CONGRESS AVE,STE 1300,AUSTIN,TX,78701,REAL ESTATE INVESTMENT/ DEVELOPMENT,,,,R20171122114728-C0023
C0024,R20171122114728,RG0057,Entity,,,,"MVA-916, LLC",,515 CONGRESS AVE,STE 1400,AUSTIN,TX,78701,REAL ESTATE INVESTMENT/ DEVELOPMENT,,,,R20171122114728-C0024
C0025,R20171122114728,RG0057,Entity,,,,"DAVIS WAYNE FS, LLC",,3821 JUNIPER TRACE,STE 207,AUSTIN,TX,78738,REAL ESTATE INVESTMENT/ DEVELOPMENT,,,,R20171122114728-C0025
C0001,R20180108171250,RG0021,Entity,,,,"Wal-Mart Stores, Inc.",,708 SW 8th Street,,Bentonville,AR,72716,Retail,,,,R20180108171250-C0001
C0044,R20180221105850,RG0142,Entity,,,,BROCK CONSULTING GROUP,,PO BOX 160340,,AUSTIN,TX,78716,REAL ESTATE INVESTMENT/ DEVELOPMENT,,,,R20180221105850-C0044
C0045,R20180221105850,RG0142,Entity,,,,"CAPRIDGE PARTNERS, LLC",,823 CONGRESS AVE,,AUSTIN,TX,78701,REAL ESTATE INVESTMENT/ DEVELOPMENT,,,,R20180221105850-C0045
C0046,R20180221105850,RG0142,Entity,,,,"CVR SHORELINE, L.P.",,1601 S. MOPAC EXPRESSWAY,STE D-175,AUSTIN,TX,78746,REAL ESTATE INVESTMENT/ DEVELOPMENT,,,,R20180221105850-C0046
C0047,R20180221105850,RG0142,Entity,,,,"CWS CAPITAL PARTNERS, LLC",,9606 N. MOPAC EXPRESSWAY,STE 500,AUSTIN,TX,78759,REAL ESTATE INVESTMENT/ DEVELOPMENT,,,,R20180221105850-C0047
C0048,R20180221105850,RG0142,Entity,,,,DOWNTOWN AUSTIN ALLIANCE,,211 E. 7TH STREET,STE 818,AUSTIN,TX,78701,ADVOCACY ORGANIZATION,,,,R20180221105850-C0048
C0049,R20180221105850,RG0142,Entity,,,,GABLES RESIDENTIAL,,608 AUSTIN CENTER BLVD,,AUSTIN,TX,78751,REAL ESTATE INVESTMENT/ DEVELOPMENT,,,,R20180221105850-C0049
C0050,R20180221105850,RG0142,Entity,,,,HELPING HAND HOME FOR CHILDREN,,3804 AVENUE B,,AUSTIN,TX,78751,NON-PROFIT,,,,R20180221105850-C0050
C0051,R20180221105850,RG0142,Entity,,,,HPI REAL ESTATE & SERVICES INVESTMENT,,3600 N. CAPITAL OF TEXAS HWY,"BLDG B, STE 250",AUSTIN,TX,78746,REAL ESTATE INVESTMENT/ DEVELOPMENT,,,,R20180221105850-C0051
C0031,R20170721094806,RG0035,Entity,,,,V&S Enterprises,,P.O. Box 6110,,Austin,TX,78761,Commercial Real Property Management,,,,R20170721094806-C0031
C0036,R20170901170011,RG0035,Entity,,,,"Krug Development, Inc.",,4866 N. Clark Street,,Chicago,IL,60640,Property Owner,,,,R20170901170011-C0036
C0012,R20170913174741,RG0083,Entity,,,,LifeAustin,,1301 Capital of Texas Hwy.,#308,Austin,TX,78746,Church,,,Disclosure of client compensation is not provided because such disclosure would violate applicable state law in Texas Disciplinary Rule 1.05 and Chapter 81 of the Texas Government Code.,R20170913174741-C0012
C0003,R20170915171255,RG0029,Entity,,,,Berkshire Hathaway Automotive,,8333 Royal Ridge Parkway,,Irving,TX,75063,Property Owner,,,,R20170915171255-C0003
C0091,R20171031124151,RG0052,Entity,,,,"LDG Development, LLC",,1305 E. 6th Street,Suite #13,Austin,TX,78702,Developer,,,,R20171031124151-C0091
C0025,R20171115161738,RG0070,Entity,,,,"DAVIS WAYNE FS, LLC",,3821 JUNIPER TRACE,STE 207,AUSTIN,TX,78738,REAL ESTATE INVESTMENT/ DEVELOPMENT,,,,R20171115161738-C0025
C0067,R20171122113731,RG0018,Entity,,,,THE UNIVERSITY OF TEXAS SYSTEM,,201 WEST 7TH STREET,,AUSTIN,TX,78701,HIGHER EDUCATION,,,,R20171122113731-C0067
C0068,R20171122113731,RG0018,Entity,,,,TRAMMELL CROW,,100 CONGRESS AVE,STE 225,AUSTIN,TX,78701,REAL ESTATE INVESTMENT/ DEVELOPMENT,,,,R20171122113731-C0068
C0069,R20171122113731,RG0018,Entity,,,,"TRAVIS HOTEL GROUP, LLC",,2711 N HASKELL AVE,STE 2800,DALLAS,TX,75204,HOSPITALITY,,,,R20171122113731-C0069
C0070,R20171122113731,RG0018,Entity,,,,"TRINE WOODS, LLC",,13945 U.S. HWY 183 N,STE D-190,AUSTIN,TX,78717,REAL ESTATE INVESTMENT/ DEVELOPMENT,,,,R20171122113731-C0070
C0071,R20171122113731,RG0018,Entity,,,,"TRUDY'S TEXAS STAR, INC.",,8133 MESA DR.,#206,AUSTIN,TX,78759,RESTAURANTS,,,,R20171122113731-C0071
C0072,R20171122113731,RG0018,Entity,,,,W&G PARTNERSHIP,,2801 VIA FORTUNA,STE 525,AUSTIN,TX,78746,REAL ESTATE INVESTMENT/ DEVELOPMENT,,,,R20171122113731-C0072
C0012,R20180131095309,RG0136,Entity,,,,"WYNDHAM VACATION RESORTS, INC.",,6277 Sea Harbor Drive,,Orlando,FL,32821,Property owner/timeshare,,,,R20180131095309-C0012
C0013,R20180131095309,RG0136,Entity,,,,"Austin 3C Venture, LP",,100 Congress Avenue,Suite 1450,Austin,TX,78701,Property Owner,,,,R20180131095309-C0013
C0001,R20180209084822,RG0013,Entity,,,,Pure Lodging Hospitality Three LLC,,4201 Galiceno Lane,,Cedar Park,TX,78613,Property owner,,,,R20180209084822-C0001
C0001,R20180209085302,RG0086,Entity,,,,VisitAustin,,"111 Congress Ave., Suite 700",,Austin,TX,78701,Visitors' Bureau of Austin,,,,R20180209085302-C0001
C0001,R20180213090129,RG0140,Entity,,,,The ERISA Industry Committee,,701 8th Street NW,610,Washington,DC,20001,"Advocacy, Government",,,,R20180213090129-C0001
C0001,R20180213091712,RG0139,Entity,,,,"Adapt Pharma, Inc.",,"c/o Politicom Law LLP, 28 Liberty Ship Way",Suite 2815,Sausalito,CA,94965,Pharmaceuticals,,,,R20180213091712-C0001
C0052,R20180221105850,RG0142,Entity,,,,LAMBERT,,1316 S. CONGRESS AVE,,AUSTIN,TX,78704,REAL ESTATE INVESTMENT/ DEVELOPMENT,,,,R20180221105850-C0052
C0008,R20180221105850,RG0142,Entity,,,,ORACLE,,9515 TOWNE CENTRE DR.,,SAN DIEGO,CA,92121,SOFTWARE APPLICATIONS,,,,R20180221105850-C0008
C0009,R20180221105850,RG0142,Entity,,,,"QUALICO CR, L.P.",,1440 THE LAKES BLVD,,PFLUGERVILLE,TX,78660,REAL ESTATE INVESTMENT/ DEVELOPMENT,,,,R20180221105850-C0009
C0010,R20180221105850,RG0142,Entity,,,,"RYAN COMPANIES, INC.",,111 CONGRESS AVE,STE 1850,AUSTIN,TX,78701,REAL ESTATE INVESTMENT/ DEVELOPMENT/ CONSTRUCTION,,,,R20180221105850-C0010
C0011,R20180221105850,RG0142,Entity,,,,"TAYLOR MORRISON OF TEXAS, INC.",,11200 LAKELINE BLVD,STE 150 A,AUSTIN,TX,78717,REAL ESTATE INVESTMENT/ DEVELOPMENT,,,,R20180221105850-C0011
C0012,R20180221105850,RG0142,Entity,,,,"YETI COOLER, LLC",,5301 SOUTHWEST PARKWAY,STE 200,AUSTIN,TX,78735,RETAILER,,,,R20180221105850-C0012
C0013,R20180221105850,RG0142,Entity,,,,BRICKMAN,,2630 EXPOSITION BLVD,STE 114,AUSTIN,TX,78703,REAL ESTATE INVESTMENT/ DEVELOPMENT,,,,R20180221105850-C0013
C0014,R20180221105850,RG0142,Entity,,,,CENTURY LAND HOLDINGS LLC,,6500 RIVER PLACE BLVD,,AUSTIN,TX,78730,REAL ESTATE INVESTMENT/ DEVELOPMENT,,,,R20180221105850-C0014
C0015,R20180221105850,RG0142,Entity,,,,EURUS 8701 ATRIUM LLC,,7200 N. MOPAC,STE 450,AUSTIN,TX,78731,REAL ESTATE INVESTMENT/ DEVELOPMENT,,,,R20180221105850-C0015
C0001,R20170718153602,RG0085,Entity,,,,"Allen Harrison Development, LLC",,1800 Augusta,150,Houston,TX,77056,Real Estate Development,,,Disclosure of client compensation is not provided because such disclosure would violate applicable state law in Texas Disciplinary Rule 1.05 and Chapter 81 of the Texas Government Code.,R20170718153602-C0001
C0002,R20170718153602,RG0085,Individual,,Daniel,,Carl,,4021 Valley View Road,B,Austin,TX,78704,Real Estate Development,,,Disclosure of client compensation is not provided because such disclosure would violate applicable state law in Texas Disciplinary Rule 1.05 and Chapter 81 of the Texas Government Code.,R20170718153602-C0002
C0003,R20170718153602,RG0085,Entity,,,,Cielo Property Group,,823 Congress Avenue,Suite 600,Austin,TX,78701,Real Estate Development,,,Disclosure of client compensation is not provided because such disclosure would violate applicable state law in Texas Disciplinary Rule 1.05 and Chapter 81 of the Texas Government Code.,R20170718153602-C0003
C0004,R20170718153602,RG0085,Entity,,,,"Guild Travel, LLC",,611 South Congress,#330,Austin,TX,78701,Real Estate Development,,,Disclosure of client compensation is not provided because such disclosure would violate applicable state law in Texas Disciplinary Rule 1.05 and Chapter 81 of the Texas Government Code.,R20170718153602-C0004
C0005,R20170718153602,RG0085,Entity,,,,"Lot 973, LLC",,3303 Northland Drive,#214,Austin,TX,78731,Real Estate Development,,,Disclosure of client compensation is not provided because such disclosure would violate applicable state law in Texas Disciplinary Rule 1.05 and Chapter 81 of the Texas Government Code.,R20170718153602-C0005
C0006,R20170718153602,RG0085,Entity,,,,"Music Lane JV, LLC",,500 West 5th Street,#1210,Austin,TX,78701,Real Estate Development,,,Disclosure of client compensation is not provided because such disclosure would violate applicable state law in Texas Disciplinary Rule 1.05 and Chapter 81 of the Texas Government Code.,R20170718153602-C0006
C0007,R20170718153602,RG0085,Entity,,,,Opus Group,,7500 Rialto Boulavard,"Bldg. 1, #250",Austin,TX,78735,Real Estate Development,,,Disclosure of client compensation is not provided because such disclosure would violate applicable state law in Texas Disciplinary Rule 1.05 and Chapter 81 of the Texas Government Code.,R20170718153602-C0007
C0007,R20170721094806,RG0035,Entity,,,,"720 Lamar Place, L.C.",,P.O. Box 6110,,Austin,TX,78761,Property Owner,,,,R20170721094806-C0007
C0008,R20170721094806,RG0035,Entity,,,,Bouldin Creek Neighborhood Association,,P.O. Box 3683,,Austin,TX,78764,Neighborhood Association,,,,R20170721094806-C0008
C0009,R20170721094806,RG0035,Entity,,,,"Eskew Place, Ltd.",,1101 S. Capital of Texas Hwy,Suite A-101,Austin,TX,78746,Property Owner,,,,R20170721094806-C0009
C0010,R20170721094806,RG0035,Entity,,,,Eureka Holdings,,3001 Knox Street,Suite 400,Dallas,TX,75205,Developer,,,,R20170721094806-C0010
