REPORT_ID,MQ_ID,REGISTRANT_ID,MQ_DESC,RP_YN,SM_OTHER_DESC,Row_ID
R20170703170748,Q0001,RG0017,"Wage, health, and safety standards for Austin's construction workforce",N,,R20170703170748-Q0001
R20170703190233,Q0001,RG0097,"Convention & Tourism Issues (Promotion, Sales and Marketing)",N,,R20170703190233-Q0001
R20170718142458,Q0006,RG0101,Traffic Impact Analysis,Y,,R20170718142458-Q0006
R20170718150200,Q0001,RG0039,"Lobbying on behalf of Argyle Residential, LLC regarding rezoning of three parcels of land.",Y,,R20170718150200-Q0001
R20170731114209,Q0019,RG0061,ENTITLEMENTS RELATED TO LAND DEVELOPMENT,Y,,R20170731114209-Q0019
R20170731114209,Q0020,RG0061,ENTITLEMENTS RELATED TO LAND DEVELOPMENT,Y,,R20170731114209-Q0020
R20170731114209,Q0023,RG0061,ENTITLEMENTS RELATED TO LAND DEVELOPMENT,Y,,R20170731114209-Q0023
R20170731114209,Q0024,RG0061,ENTITLEMENTS RELATED TO LAND DEVELOPMENT,Y,,R20170731114209-Q0024
R20170731114209,Q0021,RG0061,ENTITLEMENTS RELATED TO LAND DEVELOPMENT,Y,,R20170731114209-Q0021
R20170731114209,Q0025,RG0061,ENTITLEMENTS RELATED TO LAND DEVELOPMENT,Y,,R20170731114209-Q0025
R20170731114209,Q0026,RG0061,ENTITLEMENTS RELATED TO LAND DEVELOPMENT,Y,,R20170731114209-Q0026
R20170710151527,Q0002,RG0041,Infrastructure/Public Policy,N,,R20170710151527-Q0002
R20170721094806,Q0033,RG0035,Lobbying on behalf of V&S Enterprises regarding zoning and CodeNEXT.,Y,,R20170721094806-Q0033
R20170814100529,Q0001,RG0047,Emso Partners US LLC is a global alternatives asset manager with capabilities to provide tailored managed accounts and/or private equity and hedge funds products.,N,,R20170814100529-Q0001
R20170718150200,Q0002,RG0039,"Lobbying on behalf of Austin Convention Enterprises, Inc. regarding encroachment agreement for an encroachment over city right-of-way.",Y,,R20170718150200-Q0002
R20170718150200,Q0003,RG0039,"Lobbying on behalf of Krug Development, Inc. regarding variances to construct new development -- setback, height, compatibility; participation in RSMP.",Y,,R20170718150200-Q0003
R20170814101404,Q0001,RG0049,H.B. No. 4345 creating Rio de Vida Municipal Utility District No. 1,Y,,R20170814101404-Q0001
R20170814102422,Q0001,RG0051,Not applicable because lobbyist is a prior registrant and there is nothing to report.,N,Not applicable. Lobbyist is a prior registrant.  Nothing to report.,R20170814102422-Q0001
R20170814103640,Q0001,RG0081,Entitlements related to site plan review including Chapter 245 review.,Y,,R20170814103640-Q0001
R20170915102317,Q0035,RG0061,ENTITLEMENTS RELATED TO LAND DEVELOPMENT,Y,,R20170915102317-Q0035
R20170718150200,Q0004,RG0039,"Lobbying on behalf of Lippincott Capital, Ltd. regarding site plan correct and related code compliance.",Y,,R20170718150200-Q0004
R20170718150200,Q0005,RG0039,Lobbying on behalf of Jesse Lunsford regarding site plan and change of use permit.,Y,,R20170718150200-Q0005
R20170814103640,Q0002,RG0081,Entitlements related to preliminary plan review and coordination with Travis County PID approval.,Y,PID,R20170814103640-Q0002
R20170901170011,Q0032,RG0035,Lobbying on behalf of Victory Medical Center regarding zoning issues,Y,,R20170901170011-Q0032
R20170718150200,Q0006,RG0039,"Lobbying on behalf of Pressler RRI, LP regarding site plan and zoning.",N,,R20170718150200-Q0006
R20170718150200,Q0007,RG0039,"Lobbying on behalf of Reagan National Advertising, Inc. regarding various zoning and ordinance issues.",N,,R20170718150200-Q0007
