MQ_ID,REPORT_ID,RP_ID,RP_ADR1,RP_ADR2,RP_CITY,RP_STATE,RP_ZIP,RP_PROPERTY_DESC,Row_ID
Q0025,R20170731112644,RP0025,1112 S. 8TH STREET,,AUSTIN,TX,78702,,R20170731112644-Q0025-RP0025
Q0035,R20170731112644,RP0035,E STATE HWY 71,,DEL VALLE,TX,78617,,R20170731112644-Q0035-RP0035
Q0026,R20170731114209,RP0026,304 E. CESAR CHAVEZ,,AUSTIN,TX,78701,,R20170731114209-Q0026-RP0026
Q0027,R20170731114209,RP0027,1901 SAN ANTONIO ST,,AUSTIN,TX,78705,,R20170731114209-Q0027-RP0027
Q0002,R20170814135707,RP0002,"Block 71 Preliminary, 6th St, Lavaca St, 7th St and C",,Austin,TX,78701,,R20170814135707-Q0002-RP0002
Q0003,R20170814135707,RP0003,Southwest of Highland Mall Blvd and Middle Fiskville Rd,,Austin,TX,78752,,R20170814135707-Q0003-RP0003
Q0004,R20170814135707,RP0004,8409-8417 South Congress Avenue,,Austin,TX,78745,,R20170814135707-Q0004-RP0004
Q0004,R20170815095043,RP0004,3003 Manchaca,,Austin,TX,78704,,R20170815095043-Q0004-RP0004
Q0013,R20170814104940,RP0013,823 CONGRESS AVE,,AUSTIN,TX,78701,,R20170814104940-Q0013-RP0013
Q0023,R20170814104940,RP0023,425 W. RIVERSIDE,,AUSTIN,TX,78704,,R20170814104940-Q0023-RP0023
Q0006,R20170815115121,RP0006,411 W. Monroe,,Austin,TX,78704,,R20170815115121-Q0006-RP0006
Q0007,R20170815115121,RP0007,1127 & 1205  E. 52nd Street,,Austin,TX,78723,,R20170815115121-Q0007-RP0007
Q0008,R20170815115121,RP0008,405 W. 14th,,Austin,TX,78701,,R20170815115121-Q0008-RP0008
Q0019,R20170901150800,RP0019,"1507, 1509, 1511, 1601, 1603  Shoal Creek Blvd.",,Austin,TX,78701,,R20170901150800-Q0019-RP0019
Q0020,R20170901150800,RP0020,"1507, 1509, 1511, 1601, 1603  Shoal Creek Blvd.",,Austin,TX,78701,,R20170901150800-Q0020-RP0020
Q0021,R20170901150800,RP0021,"1507, 1509, 1511, 1601, 1603  Shoal Creek Blvd.",,Austin,TX,78701,,R20170901150800-Q0021-RP0021
Q0022,R20170901150800,RP0022,"1507, 1509, 1511, 1601, 1603  Shoal Creek Blvd.",,Austin,TX,78701,,R20170901150800-Q0022-RP0022
Q0010,R20170815110119,RP0010,,,,,,"LOT 1, PLEASANT HILL SUBDIVISION",R20170815110119-Q0010-RP0010
Q0030,R20170901095457,RP0030,,,,TX,,North Shore of Butler Hike & Bike Trail under Ann Richards Congress Avenue Bridge,R20170901095457-Q0030-RP0030
Q0008,R20170901163922,RP0008,2300 CLOUD WAY,,AUSTIN,TX,78759,,R20170901163922-Q0008-RP0008
Q0009,R20170901163922,RP0009,NW QUADRANT OF PEARCE LN & WOLF LN INTERSECTION,,Cedar Creek,TX,78612,,R20170901163922-Q0009-RP0009
Q0010,R20170901163922,RP0010,,,,,,"LOT 1, PLEASANT HILL SUBDIVISION",R20170901163922-Q0010-RP0010
Q0001,R20170906101018,RP0001,70 Pascal Lane,,Austin,TX,78746,,R20170906101018-Q0001-RP0001
Q0028,R20170906101018,RP0028,S CONGRESS AND RALPH ABLENADO,,Austin,TX,78701,,R20170906101018-Q0028-RP0028
Q0033,R20170913093043,RP0033,8212 BARTON CLUB DR,,AUSTIN,TX,78735,,R20170913093043-Q0033-RP0033
Q0034,R20170913093043,RP0034,OLD HWY 20,,MANOR,TX,78653,,R20170913093043-Q0034-RP0034
Q0024,R20170915102317,RP0024,916 CONGRESS,,AUSTIN,TX,78701,,R20170915102317-Q0024-RP0024
Q0009,R20170928111154,RP0009,1316 W 6th Street,,Austin,TX,78703,LOT 15 OLT 3 DIV Z SMOOT SUBD & ADJ 405.5 FT,R20170928111154-Q0009-RP0009
Q0006,R20170928111955,RP0006,"1814, 1816, 1820 Kenwood Avenue",,Austin,TX,78704,,R20170928111955-Q0006-RP0006
Q0034,R20171011091352,RP0034,OLD HWY 20,,MANOR,TX,78653,,R20171011091352-Q0034-RP0034
Q0034,R20171012104923,RP0034,OLD HWY 20,,MANOR,TX,78653,,R20171012104923-Q0034-RP0034
Q0021,R20171012172449,RP0021,6001 AIRPORT ROAD,,AUSTIN,TX,78752,,R20171012172449-Q0021-RP0021
Q0001,R20171017094141,RP0001,405 Colorado Street,,Austin,TX,78701,LOT 1 BLK 43A 401 Colorado SUBD,R20171017094141-Q0001-RP0001
Q0004,R20171017094141,RP0004,7101 Burnet Road,,Austin,TX,78757,LOT 1 NORTHCROSS-BURNET ADDN,R20171017094141-Q0004-RP0004
Q0002,R20171017094426,RP0002,3212 E. Cesar Chavez Street,,Austin,TX,78702,,R20171017094426-Q0002-RP0002
Q0038,R20171017094650,RP0038,3212 E. Cesar Chavez Street,,Austin,TX,78702,,R20171017094650-Q0038-RP0038
Q0015,R20171101092709,RP0015,8701 MOPAC EXPRESSWAY,,AUSTIN,TX,78759,,R20171101092709-Q0015-RP0015
Q0026,R20171030163637,RP0026,304 E. CESAR CHAVEZ,,AUSTIN,TX,78701,,R20171030163637-Q0026-RP0026
Q0024,R20171030164157,RP0024,916 CONGRESS,,AUSTIN,TX,78701,,R20171030164157-Q0024-RP0024
Q0010,R20171103083333,RP0010,,,,,,"LOT 1, PLEASANT HILL SUBDIVISION",R20171103083333-Q0010-RP0010
Q0011,R20171103083333,RP0011,,,,,,MCCORMICK RANCH ON LAKE AUSTIN,R20171103083333-Q0011-RP0011
Q0039,R20171113152000,RP0039,508 WEST AVENUE,,AUSTIN,TX,78701,,R20171113152000-Q0039-RP0039
Q0001,R20171115142049,RP0001,70 PASCAL LANE,,AUSTIN,TX,78746,,R20171115142049-Q0001-RP0001
Q0002,R20171115142049,RP0002,721 CONGRESS AVE,,AUSTIN,TX,78701,,R20171115142049-Q0002-RP0002
Q0003,R20171115142049,RP0003,8509 FM 969,,AUSTIN,TX,78724,,R20171115142049-Q0003-RP0003
Q0008,R20171113152000,RP0008,2300 CLOUD WAY,,AUSTIN,TX,78759,,R20171113152000-Q0008-RP0008
Q0015,R20171115142049,RP0015,8701 MOPAC EXPRESSWAY,,AUSTIN,TX,78759,,R20171115142049-Q0015-RP0015
Q0020,R20171122113731,RP0020,610 E. 11TH STREET / 705 E. 12TH STREET,,AUSTIN,TX,78701,,R20171122113731-Q0020-RP0020
Q0010,R20171130160530,RP0010,,,,,,"LOT 1, PLEASANT HILL SUBDIVISION",R20171130160530-Q0010-RP0010
Q0024,R20171122114728,RP0024,916 CONGRESS,,AUSTIN,TX,78701,,R20171122114728-Q0024-RP0024
Q0001,R20180108170347,RP0001,1101 Red River,,Austin,TX,78701,,R20180108170347-Q0001-RP0001
Q0001,R20180110092448,RP0001,Leif Johnson Ford - SH 71 and Old Bee Ca,,Bee Cave,TX,78738,,R20180110092448-Q0001-RP0001
Q0002,R20180110092448,RP0002,"Block 71, 6th Street, Lavaca, 7th &CO",,Austin,TX,78701,,R20180110092448-Q0002-RP0002
Q0008,R20180110084635,RP0008,4530 E. Ben White Blvd.,,Austin,TX,78741,,R20180110084635-Q0008-RP0008
Q0003,R20180112162322,RP0003,State Highway E. 71 @ Fallwell Lane,,Del Valle,TX,78617,,R20180112162322-Q0003-RP0003
Q0015,R20171128085118,RP0015,8701 MOPAC EXPRESSWAY,,AUSTIN,TX,78759,,R20171128085118-Q0015-RP0015
Q0003,R20180105095638,RP0003,6400 F.M. 969,,Austin,TX,78724,,R20180105095638-Q0003-RP0003
Q0004,R20180105095638,RP0004,1202 San Antonio Street,,Austin,TX,78701,,R20180105095638-Q0004-RP0004
Q0012,R20180110143404,RP0012,1301 East 5th Street,,Austin,TX,78702,LOT 56-58 & 130X285FT OLT 3 DIV O CENTRAL ROW,R20180110143404-Q0012-RP0012
Q0013,R20180110143404,RP0013,413 Navasota,,Austin,TX,78702,LOT 7-12 BLK 1 OLT 4 DIV O PECK R H,R20180110143404-Q0013-RP0013
Q0018,R20180110143404,RP0018,1515 S. Lamar Blvd.,,Austin,TX,78704,Lot 1 BLK A Shepherd Add,R20180110143404-Q0018-RP0018
Q0032,R20180117121805,RP0032,413 NAVASOTA,,AUSTIN,TX,78702,,R20180117121805-Q0032-RP0032
Q0033,R20180117121805,RP0033,8212 BARTON CLUB DR,,AUSTIN,TX,78735,,R20180117121805-Q0033-RP0033
Q0034,R20180117121805,RP0034,OLD HWY 20,,MANOR,TX,78653,,R20180117121805-Q0034-RP0034
Q0035,R20180117121805,RP0035,E. STATE HWY 71,,DEL VALLE,TX,78617,,R20180117121805-Q0035-RP0035
Q0036,R20180117121805,RP0036,,,,,,LOT 1-2 BLK A ALEXAN MOUNTAIN VIEW & PT LOT 1 & LOT 2 BELVIN M E SUBD & ABS 86 SUR 75 BELL AF ACR 10.6010,R20180117121805-Q0036-RP0036
Q0038,R20180117121805,RP0038,12971 POND SPRINGS ROAD,,AUSTIN,TX,78729,,R20180117121805-Q0038-RP0038
Q0014,R20180119093502,RP0014,,,,,,PEARSON PLACE SECTION THREE,R20180119093502-Q0014-RP0014
Q0010,R20180119095221,RP0010,600 Guadalupe,,Austin,TX,78701,,R20180119095221-Q0010-RP0010
Q0004,R20180122130027,RP0004,2425 East Riverside Dr.,,Austin,TX,78741,,R20180122130027-Q0004-RP0004
Q0018,R20180119093502,RP0018,5810 STEINER RANCH,,AUSTIN,TX,78732,,R20180119093502-Q0018-RP0018
Q0002,R20180123162315,RP0002,2921 E 17th St.,,Austin,TX,78702,,R20180123162315-Q0002-RP0002
Q0013,R20180123164456,RP0013,3000-3004 Montopolis Dr.,,Austin,TX,78741,,R20180123164456-Q0013-RP0013
Q0001,R20180123164715,RP0001,500 Montopolis,,Austin,TX,78741,,R20180123164715-Q0001-RP0001
Q0001,R20180123172010,RP0001,916 Congress Avenue,,Austin,TX,78701,,R20180123172010-Q0001-RP0001
Q0006,R20180126165842,RP0006,1316 W 6th Street,,Austin,TX,78703,LOT 15 OLT 3 DIV Z SMOOT SUBD & ADJ 405.5 FT,R20180126165842-Q0006-RP0006
Q0007,R20180221105850,RP0007,6500 RR 2222,,AUSTIN,TX,78730,,R20180221105850-Q0007-RP0007
Q0008,R20180221105850,RP0008,2300 CLOUD WAY,,AUSTIN,TX,78759,,R20180221105850-Q0008-RP0008
Q0036,R20180410111401,RP0036,5639 Airport Blvd,,Austin,TX,78745,,R20180410111401-Q0036-RP0036
Q0037,R20180410111401,RP0037,10110 & 10120 Rimstone Drive,,Austin,TX,78736,,R20180410111401-Q0037-RP0037
Q0038,R20180410111401,RP0038,410 West Alpine Road,,Austin,TX,78704,,R20180410111401-Q0038-RP0038
Q0039,R20180410111401,RP0039,801 E 32nd Street,,Austin,TX,78758,LOT 2 RESUB OF A PART OF OLT 5 DIVISION C,R20180410111401-Q0039-RP0039
Q0023,R20180126165842,RP0023,12833 Turtle Rock Road,,Austin,TX,78729,,R20180126165842-Q0023-RP0023
Q0008,R20180131095309,RP0008,805 Nueces St.,,Austin,TX,78701,".58 acres of Lots 1-4, BLock 102, Original City of Austin",R20180131095309-Q0008-RP0008
Q0001,R20180410115849,RP0001,XX Nuckols Crossing Road; prop id#293209,,Austin,TX,78744,LOT 2 WOODWAY VILLAGE SUBD;  ABS 24 DELVALLE S ACR 9.997,R20180410115849-Q0001-RP0001
