REGISTRANT_ID,REGISTRANT_FULL_NAME,ENTITY_CD,REGISTRANT_TITLE,REGISTRANT_FIRST_NAME,REGISTRANT_MI,REGISTRANT_LAST_NAME,REGISTRANT_SUFFIX,EMPLOYER,REGISTRATION_DATE,RENEWAL_DATE,TERMINATION_DATE,REGISTERED_BY
RG0001,"Allen, Ray",Individual,,Ray,,Allen,,Texas Solutions Group,10/21/2016,,07/10/2017,
RG0004,"Arnold, Jim A.",Individual,,Jim,A.,Arnold,,Arnold Public Affairs,12/12/2016,,10/03/2017,
RG0073,"Theunissen, Trevor",Individual,,Trevor,,Theunissen,,,01/03/2018,,,
RG0102,"Dehghan Niri, Hamid",Individual,,Hamid,,Dehghan Niri,,"Stantec Consulting Services, Inc.",06/15/2017,,10/05/2017,RG0089
RG0012,"Carley, Lynn A.",Individual,,Lynn,Ann,Carley,,,01/06/2017,,05/31/2017,
RG0024,"Francis, William B.",Individual,,William,B.,Francis,,,10/10/2016,,06/07/2017,
RG0025,"Gill, Evan C.",Individual,,Evan,C.,Gill,,,10/27/2016,,09/06/2017,
RG0040,"Klingler, Hans",Individual,,Hans,,Klinger,,,01/23/2017,,10/10/2017,
RG0045,"Lopez Saltarelli, Amelia",Individual,,Amelia,,Lopez Saltarelli,,Amelia Lopez Consulting LLC,01/26/2017,,09/29/2017,
RG0050,"Martin, Donald G.",Individual,,Donald,G.,Martin,,Don Martin Public Affairs,02/17/2017,,08/03/2017,
RG0055,"Miller, Steven J.",Individual,,Steven,J.,Miller,,,01/31/2017,,07/18/2017,
RG0061,"Neslund, Melissa M.",Individual,,Melissa,May,Neslund,,Armbrust & Brown,05/03/2017,,11/14/2017,
RG0062,"Nickells, Julienne K.",Individual,,Julienne,K.,Nickells,,Drenner Group,07/10/2017,,11/08/2017,RG0106
RG0064,"Poinsett, Royce P.",Individual,,Royce,P.,Poinsett,,,04/10/2017,,07/28/2017,
RG0069,"Stratmann, Mary",Individual,,Mary,,Stratmann,,,11/07/2016,,07/07/2017,
RG0075,"Walker, Christopher J.",Individual,,Christopher,Jason,Walker,,,10/04/2017,,12/04/2017,
