REPORT_ID,REGISTRANT_ID,REPORTED_BY,REPORT_TYPE1,REPORT_TYPE2,REPORT_DATE,DUE_DATE,REPORT_YEAR,ACTIVITY_QUARTER,REGISTRANT_BUS_ADR1,REGISTRANT_BUS_ADR2,REGISTRANT_BUS_CITY,REGISTRANT_BUS_STATE,REGISTRANT_BUS_ZIP,REGISTRANT_MAIL_ADR1,REGISTRANT_MAIL_ADR2,REGISTRANT_MAIL_CITY,REGISTRANT_MAIL_STATE,REGISTRANT_MAIL_ZIP,TOTAL_REIMBOTHERS,TOTAL_FOODBEV,TOTAL_TRANSLODG,TOTAL_GIFTS,TOTAL_ENTERTAINMENT,TOTAL_AWARDS,TOTAL_HONORARIUMS,TOTAL_EVENTFEES,TOTAL_MEDIA,TOTAL_MEDIASUPPORT,EDIMS_DOCNUMBER,NO_ACT,EMP_501C3_YN,NO_CLIENT
R20171030164358,RG0006,,Update_Correction,None,10/24/2017,,2017,Q4,2915 Zach Scott Street,,Austin,TX,78723,2915 Zach Scott Street,,Austin,TX,78723,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,287238,FALSE,N,N
R20180410134432,RG0093,RG0095,Quarterly_Activity_Report,April,04/09/2018,04/10/2018,2018,Q1,1408 E. 13th St.,,Austin,TX,78702,1408 E. 13th St.,,Austin,TX,78702,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,296301,FALSE,N,N
R20180410134737,RG0138,,Quarterly_Activity_Report,April,04/09/2018,04/10/2018,2018,Q1,1122 Colorado Street,Suite 208,Austin,TX,78701,PO Box 13382,,Austin,TX,78711,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,296295,FALSE,N,N
R20180410135426,RG0063,,Quarterly_Activity_Report,April,04/09/2018,04/10/2018,2018,Q1,640 Fifth Avenue,,New York City,NY,10019,640 Fifth Avenue,,New York City,NY,10019,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,296292,TRUE,N,Y
R20180410135836,RG0074,RG0108,Quarterly_Activity_Report,April,04/09/2018,04/10/2018,2018,Q1,510 S Congress Avenue,Suite 207,Austin,TX,78704,P.O. Box 41957,,Austin,TX,78704,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,296296,FALSE,N,N
R20180410141558,RG0076,,Renewal,April,04/09/2018,04/10/2018,2018,Q1,816 Congress Ave,Suite 1100,Austin,TX,78701,816 Congress Ave,Suite 1100,Austin,TX,78701,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,296286,FALSE,N,N
R20180410142551,RG0098,,Quarterly_Activity_Report,April,04/09/2018,04/10/2018,2018,Q1,815 Brazos Street,Suite 701,Austin,TX,78701,Post Office Box 27016,,Austin,TX,78755,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,296287,FALSE,Y,N
R20180410154335,RG0143,,Quarterly_Activity_Report,April,04/09/2018,04/10/2018,2018,Q1,"450 Geary Street, Suite 200",,San Francisco,CA,94102,"450 Geary Street, Suite 200",,San Francisco,CA,94102,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,296303,TRUE,N,Y
R20170710132635,RG0076,,Quarterly_Activity_Report,July,07/10/2017,07/10/2017,2017,Q2,816 CONGRESS AVENUE,SUITE 1100,AUSTIN,TX,78701,816 CONGRESS AVENUE,SUITE 1100,AUSTIN,TX,78701,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,282583,FALSE,N,
R20170710144157,RG0040,,Quarterly_Activity_Report,July,07/10/2017,07/10/2017,2017,Q2,2021 Zach Scott Street,,Austin,TX,78723,2021 Zach Scott Street,,Austin,TX,78723,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,282540,TRUE,N,
