Client,Date,Change,Cumulative
1000 E. 6th,2014-08-20,1,1
1000 E. 6th,2015-08-20,-1,0
1023 Holdings,2015-06-16,1,1
1210 Barton Springs Road Venture,2014-03-31,1,1
1219 South Lamar Venture,2013-01-03,2,2
1219 South Lamar Venture,2014-01-03,-1,1
1219 South Lamar Venture,2015-01-03,-1,0
16 Piggybank,2014-07-09,1,1
16 Piggybank,2014-12-21,1,2
16 Piggybank,2015-01-12,1,3
16 Piggybank,2016-01-12,-2,1
1600 West 38th,2010-12-16,1,1
1600 West 38th,2011-12-16,-1,0
1715 G,2015-04-24,1,1
1715 G,2015-06-27,1,2
183 BLW,2013-12-20,1,1
183 BLW,2014-01-07,2,3
183 BLW,2014-01-08,1,4
183 BLW,2015-01-20,1,5
183 BLW,2016-01-20,-1,4
2011 Boat Dock,2015-03-24,1,1
2208 Lake Austin,2014-04-25,1,1
2208 Lake Austin,2014-04-29,1,2
2208 Lake Austin,2014-06-27,1,3
2208 Lake Austin,2014-07-09,1,4
2208 Lake Austin,2015-04-29,-1,3
2208 Lake Austin,2015-07-09,-1,2
3 Point Partners,2013-10-08,1,1
3 Point Partners,2015-10-16,-1,0
360 Aircon Energy Savers,2013-05-21,1,1
360 Aircon Energy Savers,2014-05-21,-1,0
405 Colorado Holdings,2014-10-09,1,1
405 Colorado Holdings,2015-01-12,1,2
405 Colorado Holdings,2015-11-07,1,3
408 Sterzing,2011-08-17,1,1
408 Sterzing,2012-08-16,-1,0
408 Sterzing,2014-04-25,1,1
408 Sterzing,2014-06-27,1,2
4800 Friedrich Lane,2013-12-20,1,1
4800 Friedrich Lane,2014-01-07,2,3
5001 Convict Hill,2013-07-18,1,1
5001 Convict Hill,2013-09-05,1,2
5001 Convict Hill,2014-07-18,-1,1
5001 Convict Hill,2014-09-05,-1,0
5453 Burnet Park Venture,2013-01-03,2,2
5453 Burnet Park Venture,2014-01-03,-1,1
5453 Burnet Park Venture,2016-01-13,-1,0
620/183,2013-02-14,1,1
69 Grandview,2015-04-24,1,1
69 Grandview,2015-06-27,1,2
6D Ranch,2015-01-09,1,1
6D Ranch,2016-01-09,-1,0
706 Development,2016-01-20,1,1
720 Lamar Place,2011-08-17,1,1
720 Lamar Place,2012-08-16,-1,0
720 Lamar Place,2014-04-25,1,1
