Start,End,Lobbyist,Client,Industry,ClientAddress
2013-12-20,2014-12-20,Richard Suttle,Forestar (USA) Real Estate Group ,Land Development & Sales,"6300 Bee Cave Road Building 2, Suite 500
Austin, Texas 78746
(30.296447557000477, -97.83091419899966)"
2013-12-20,2014-12-20,Richard Suttle,Tierra Concepts,Real Estate Investment/Development,"8917 Old Lampass Trail #28
Austin, Texas 78750
(30.421193125000457, -97.7965971159997)"
2013-12-20,2014-12-20,Richard Suttle,Majestic Realty,Real Estate Investment,"6836 Bee Caves Road, Suite 292
Austin, Texas 78746
(30.299531760000434, -97.8379697259997)"
2013-12-20,2014-12-20,Richard Suttle,"Cullen, John",Real Estate Investment,"1703 West 5th Street, Suite 800
Austin, Texas 78703
(30.27491760500044, -97.76498148999968)"
2013-12-20,2014-12-20,Richard Suttle,"The NRP Group, LLC",Real Estate Investment,"5309 Transportation Blvd.
Cleveland, Ohio 44125
(41.4156116260005, -81.61600761499966)"
2013-12-20,2014-12-20,Richard Suttle,The Charter School Fund,Public School,"855 Broad Street #300
Boise, Ohio 83702
(43.627421849000484, -116.2062869239997)"
2013-12-20,2014-12-20,Richard Suttle,"Rice, Robert",Real Estate Investment,"54 Rainey Street #1004
Austin, Texas 78701
(30.257502318000434, -97.73926268999969)"
2013-12-20,2014-12-20,Richard Suttle,"Wilkerson, Eric",Real Estate Investment,"P.O. Box 50076
Austin, Texas 78763
(30.29689283500045, -97.76702644799968)"
2013-12-20,2014-12-20,Richard Suttle,Riddell Family Limited Partnership,Real Estate Investment,"2028 East Ben White Blvd., Suite 508
Austin, Texas 78741
(30.21658755800047, -97.74330816099967)"
2013-12-20,2014-12-20,Richard Suttle,Autoreturn,Real Estate Investment,"AP Billing, 375 Alabama Street, Suite 300
San Francisco, California 94110
(37.75279192300047, -122.41730717599972)"
2013-12-20,2014-12-20,Richard Suttle,Goodstone LLC,Real Estate Investment,"401 Congress Ave., Ste. 1540
Austin, Texas 78701
(30.26637066000046, -97.74339106999969)"
2013-12-20,2014-12-20,Richard Suttle,"Safeway, Inc.",Real Estate Investment,"Real Estate Law Office, 5918 Stoneridge Mall Rd.
Pleasanton, California 94588
(37.69273091200046, -121.89835709899972)"
2013-12-20,2014-12-20,Richard Suttle,Hughes Capital Management,Real Estate Development,"1301 S. Capital of TX Highway, Suite A-300
Austin, Texas 78746
(30.27837820500048, -97.82003658199966)"
2013-12-20,2014-12-20,Richard Suttle,"Orangestone Bluegrass, LLC",Real Estate Investment,"5828 Balcones Drive, Ste 101
Austin, Texas 78731
(30.340456663000452, -97.75515580999968)"
2013-12-20,2014-12-20,Richard Suttle,Austin Board of Realtors,Real Estate,"10900 Stonelake Blvd, Ste 100A
Austin, Texas 78759
(30.400246842000456, -97.7361519589997)"
2013-12-20,2014-12-20,Richard Suttle,"Shapiro, Bobby and Jim",Real Estate Investment,"1000 East 4th Street
Austin, Texas 78702
(30.26325684800048, -97.73320159499968)"
2013-12-20,2014-12-20,Richard Suttle,"McCullough, Todd",Real Estate Investment,"311 Westwood Terrace
Austin, Texas 78746
(30.281462408000436, -97.80372726099966)"
2013-12-20,2014-12-20,Richard Suttle,HPI Real Estate & Services Investment,Real Estate Investment,"3600 N. Capital of Texas Hwy, Bldg. B, Suite 250
Austin, Texas 78746
(30.334987060000458, -97.80662669599968)"
2013-12-20,2014-12-20,Richard Suttle,TR Vista Preserve,Real Estate Investment,"1600 N. Collins, Suite 1500
Richardson, Texas 75080
(32.970068556000456, -96.72347941599969)"
2013-12-20,2014-12-20,Richard Suttle,"Magellan Development Group, LLC",Real Estate Investment,"225 N. Columbus Drive, Suite 100
Chicago, Illinois 60601
(41.884323941000446, -87.62061813299965)"
2013-12-20,2014-12-20,Richard Suttle,"Wilkinson, Julia Matthews",Real Estate Investment,"c/o Osborne, Helman, Knebel &amp; DeLeary L 301 Congress Ave., Ste. 1910
Austin, Texas 78701
(30.269910351000476, -97.74363728299966)"
2013-12-20,2014-12-20,Richard Suttle,H-E-B ,Real Estate,"646 South Main Avenue
San Antonio, Texas 78204
(29.417754239000487, -98.49582040599967)"
2013-12-20,2014-12-20,Richard Suttle,"Nelson, Brad",Real Estate Investment,"905 Congress Avenue
Austin, Texas 78701
(30.271109483000487, -97.7416416969997)"
2013-12-20,2014-12-20,Richard Suttle,"CST Brands, Inc.",Real Estate Investment,"1 Valero Way, Bldg. D, Ste. 200
San Antonio, Texas 78249
(29.58928635400048, -98.60785962799969)"
2013-12-20,2014-12-20,Richard Suttle,"Capridge Partners, LLC",Real Estate Investment,"823 Congress Ave. #1111
Austin, Texas 78701
(30.270659408000483, -97.74181106699967)"
2013-12-20,2014-12-20,Richard Suttle,"Amstar/Stacy 823, LP",Real Estate Investment/Development,"823 Congress Avenue, Suite 1111
Austin, Texas 78701
(30.270659408000483, -97.74181106699967)"
2013-12-20,2014-12-20,Richard Suttle,Aspen Properties,Real Estate Development,"7447 Bee Cave Road, Suite 150
Austin, Texas 78746
(30.30809388700044, -97.84317632199969)"
