Start,End,Lobbyist,Client,Industry,Cluster
2013-12-20,2016-12-23,Richard Suttle,Forestar Real Estate Group,Land Development & Sales,46
2013-12-20,2016-12-23,Richard Suttle,Tierra Concepts,Real Estate Investment/Development,4
2013-12-20,2016-12-23,Richard Suttle,Majestic Realty,Real Estate Investment,123
2013-12-20,2016-12-23,Richard Suttle,"Cullen, John",Real Estate Investment,6
2013-12-20,2016-12-23,Richard Suttle,The NRP Group,Real Estate Investment,8
2013-12-20,2016-12-23,Richard Suttle,The Charter School Fund,Public School,10
2013-12-20,2016-12-23,Richard Suttle,"Rice, Robert",Real Estate Investment,12
2013-12-20,2016-12-23,Richard Suttle,"Wilkerson, Eric",Real Estate Investment,14
2013-12-20,2016-12-23,Richard Suttle,Riddell Family,Real Estate Investment,16
2013-12-20,2016-12-23,Richard Suttle,AutoReturn,Real Estate Investment,859
2013-12-20,2016-12-23,Richard Suttle,Goodstone,Real Estate Investment,19
2013-12-20,2016-12-23,Richard Suttle,Safeway,Real Estate Investment,337
2013-12-20,2016-12-23,Richard Suttle,Hughes Capital Management,Real Estate Development,21
2013-12-20,2016-12-23,Richard Suttle,Orangestone Bluegrass,Real Estate Investment,25
2013-12-20,2016-12-23,Richard Suttle,Austin Board of Realtors,Real Estate,27
2013-12-20,2016-12-23,Richard Suttle,"Shapiro, Bobby and Jim",Real Estate Investment,29
2013-12-20,2016-12-23,Richard Suttle,"McCullough, Todd",Real Estate Investment,30
2013-12-20,2016-12-23,Richard Suttle,HPI Real Estate and Services Investment,Real Estate Investment,32
2013-12-20,2016-12-23,Richard Suttle,TR Vista Preserve,Real Estate Investment,35
2013-12-20,2016-12-23,Richard Suttle,Magellan Development Group,Real Estate Investment,37
2013-12-20,2016-12-23,Richard Suttle,"Wilkinson, Julia Matthews",Real Estate Investment,586
2013-12-20,2016-12-23,Richard Suttle,H-E-B,Real Estate,39
2013-12-20,2016-12-23,Richard Suttle,"Nelsen, Brad",Real Estate Investment,291
2013-12-20,2016-12-23,Richard Suttle,CST Brands,Real Estate Investment,43
2013-12-20,2016-12-23,Richard Suttle,Capridge Partners,Real Estate Investment,109
2013-12-20,2016-12-23,Richard Suttle,Walton Stacy Partners,Real Estate Development,111
2013-12-20,2016-12-23,Richard Suttle,Aspen Properties,Real Estate Development,49
2013-12-20,2016-12-23,Richard Suttle,Austin Baptist Church,Religious Assembly/Education,883
2013-12-20,2016-12-23,Richard Suttle,4800 Friedrich Lane,Real Estate Investment/Development,51
2013-12-20,2016-12-23,Richard Suttle,Amstar Group,Real Estate Investment/Development,53
2013-12-20,2016-12-23,Richard Suttle,Austin Restaurant Association,Restaurant Association,55
2013-12-20,2016-12-23,Richard Suttle,Blenheim,Real Estate Investment/ Development,563
2013-12-20,2016-12-23,Richard Suttle,Capital Commercial Investments,Real Estate Investment/Development,59
2013-12-20,2016-12-23,Richard Suttle,Carma Texas,Real Estate Investment/Development,854
2013-12-20,2016-12-23,Richard Suttle,Circuit of the Americas,Sports and Special Events Productions,105
2013-12-20,2016-12-23,Richard Suttle,Concordia University,Education,858
2013-12-20,2016-12-23,Richard Suttle,CWS Capital Partners,Real Estate Development,355
2013-12-20,2016-12-23,Richard Suttle,Cypress Realty,Real Estate Development,112
2013-12-20,2016-12-23,Richard Suttle,Endeavor Real Estate Group,Real Estate Investment/Development,70
2013-12-20,2016-12-23,Richard Suttle,Episcopal Theological Seminary of the Southwest,Religious Assembly/Education,77
2013-12-20,2016-12-23,Richard Suttle,Four Seasons Hotel,Hotel,79
2013-12-20,2016-12-23,Richard Suttle,The Gottesman Company,Real Estate Investment/Development,114
2013-12-20,2016-12-23,Richard Suttle,Hyde Park Baptist Church,Religious Assembly,81
2013-12-20,2016-12-23,Richard Suttle,Glenn Jackson,Real Estate Investment/Development,458
2013-12-20,2016-12-23,Richard Suttle,Jewish Community Association of Austin,Real Estate Development,70
2013-12-20,2016-12-23,Richard Suttle,The Kucera Companies,Real Estate Investment/Development,86
2013-12-20,2016-12-23,Richard Suttle,Meredith Family Revocable Trust,Real Estate Development,88
2013-12-20,2016-12-23,Richard Suttle,Linda Moody,Private Property Owner,885
2013-12-20,2015-12-23,Richard Suttle,North Austin MUD No. 1,Municipal Utility District,89
2013-12-20,2016-12-23,Richard Suttle,Qualico,Real Estate Development,92
2013-12-20,2016-12-23,Richard Suttle,Robinson Ranch,"Investment, development, zoning and related activities",805
2013-12-20,2016-12-23,Richard Suttle,Robert Schmidt,Private Property Owner,94
2013-12-20,2016-12-23,Richard Suttle,James Schneider,Private Property Owner,329
2013-12-20,2016-12-23,Richard Suttle,St. Andrew's Episcopal School,School,864
2013-12-20,2016-12-23,Richard Suttle,Speedy Stop,Real Estate Investment/Development,865
2013-12-20,2016-12-23,Richard Suttle,Stubb's Austin Restaurant Company,Restaurant,9
2013-12-20,2016-12-23,Richard Suttle,The University of Texas System,University,129
2013-12-20,2016-12-23,Richard Suttle,Trudy's Texas Star,Restaurant,131
2013-12-20,2016-12-23,Richard Suttle,Vivo Hospitality,Restaurant,133
2013-12-20,2016-12-23,Richard Suttle,W and G Partnership,Real Estate Development,96
2013-12-20,2016-12-23,Richard Suttle,Westbank Community Library District,Real Estate Development,135
2013-12-20,2016-12-23,Richard Suttle,White Lodging Services,Real Estate Development,139
2013-12-20,2016-12-23,Richard Suttle,Randy Wilson,Private Property Owner,141
2013-12-20,2016-12-23,Richard Suttle,Google,Provides internet related products and services,144
2013-12-20,2016-12-23,Richard Suttle,Stream Realty,Real Estate,102
2013-12-20,2016-12-23,Richard Suttle,Flextronics,Real Estate/Investment,147
2013-12-20,2016-12-23,Richard Suttle,EHB Companies,Real Estate Investment/Development,149
