index,original,industry1,industry2,subcategory
0,Land Development & Sales,development,,
3,Public School,education,,
9,Sports and Special Events Productions,,,
13,Private Property Owner,,,
14,Municipal Utility District,,,
15,"Investment, development, zoning and related activities",,,
18,University,education,,
19,Provides internet related products and services,,,
22,Land Development,development,,
23,Private Property Owner/Real Estate Investment/Development,development,,
24,Waste Disposal,,,
26,Limited District,,,
29,Developer,,,
30,Land Use Development,development,,
34,Entertainment,art,,
35,Public Affairs,,,
36,Electric Energy Provider,energy,,
38,Labor Union,,,
39,Union/Political,,,
40,Multi-family Development,development,,
41,Community College,education,,
42,Engineering Firm,,,
43,Business League,,,
47,Contractors,development,,
48,Youth Recreational Facility,,,
49,Water District Issues,,,
51,Food Disposal,service,,
52,Towing,transportation,,
53,Advocavy Organization,,,
54,,,,
55,"Network deployment, development, zoning and signage issues",,,
58,Real Property Owners,,,
59,Outdoor Advertising,,,
60,Procurement,,,
62,Waste management and recycling,,,
64,Neighborhood Association,,,
67,Property Owners,,,
69,"Architecture, engineering and planning services",,,
71,Fast Food,,,
73,Quick Service Food,,,
74,Land Development Company,,,
75,Real Property Owner,,,
76,Auto Salvage,,,
77,Engineers,,,
78,Solar Power Company,energy,sustainable,
80,Mobile Vending,,,
81,Community Association,,,
82,Commerical Real Property Management,development,,
85,Commercial Real Property Management,development,,
86,Recycling Company,,,
87,Emergency Services,,,
90,Urban Farm,,,
91,Resl Estate Development,,,
94,Transportation,,,
95,Limo and Bus Service,transportation,,
96,Real Propery Owner,,,
97,Software Applications,technology,,
99,Telecommunications,technology,,
100,Database Solutions,technology,,
101,Systems Integration and Data Centers,technology,,
102,Mailing Services,,,
104,"Design, Testing, Packaging and Marketing of Integraded Circuits",,,
106,Vacation Rental Service,,,
108,Catering and Event Services,,,
109,Health Care Facilities,,,
110,Water & Energy Conservation,,,
111,"Consulting,Conservation, Lobbying",,,
114,Rental Properties,,,
115,Property Development,,,
122,Consulting and Research,,,
123,Railroad,transportation,,
126,Radio Station,,,
128,Individual,,,
129,Neighborhood Asociation,,,
130,Car Dealership,,,
131,Plastics Recycling Company,,,
132,Neighborhood Assoc,,,
133,Car Wash,,,
134,Condo Propert Owners,,,
135,Tree Trimming,,,
137,Event Manager,,,
138,Special event,,,
139,Lake Austin Issues,,,
140,Infrastructure,,,
143,Automated Traffic Enforcement,,,
144,Debt Collection,,,
151,Excavation,,,
154,Land Developers,,,
156,Computer and Consumer Electronic Products,,,
157,Condominium Association,,,
158,Bus System,,,
161,Mobile Catering,,,
163,"Public Relations, Marketing Advertising, Real Estate/Constru",,,
164,Engineering Services,,,
165,Community Historic Preservation Group,,,
166,Cultural Arts Organization,,,
167,MBE/WBE Issues,,,
168,Master Planning,,,
169,Affordable Housing Developers,,,
170,Non profit Cultural Arts,,,
174,Television network,,,
177,Child Safety,,,
178,Private Vehicle Immobilizaion,,,
179,Electric Coop,,,
180,Waste Recycling & Residuals,,,
181,Development,,,
182,Business Association,,,
186,"Specialty food,beverage and retail concessions and merchandise",,,
187,Developement of parking facilities at the airport,,,
188,Purchase of Bond Debt,,,
189,Information Technology Staffing,,,
190,Trade Association and Retailers,,,
191,Real,real estate,,
192,Grocery Store,,,
193,Intermunicipal Commuter Rail District planning service,,,
195,Provider & Applicator of Manhole Coatings and Wastewater Pipe Linings,,,
201,Land Owner,,,
202,Entertainment Industry,art,,
204,"Sales, Business and Rental",,,
205,Association,,,
206,Information Technology,,,
207,Housing Development,,,
208,Construct house and boatdock,,,
209,House Permits,,,
212,Engu=ineering,technology,,
213,Municipal District,,,
215,Utility District,,,
216,Charity and Real Estate,,,
217,Development of FBO site at ABIA,,,
219,"Specialty food, retail and merchandise stores",,,
220,Land use and development,,,
222,Permitting,,,
223,"Towing, storage and disposition of vehicles",transportation,,
224,Water Resources,,,
225,Neghborhood Association,,,
226,"Water, Parks",,,
227,Customer Services,,,
228,Insurance,,,
229,Web Based Services,,,
230,HR Services,,,
231,Oursourcing Services,,,
232,Residentaial Entitlement,,,
233,Residential Entitelement,,,
234,Consumer Lending,,,
235,Event Company,,,
236,State association for concrete industry,,,
237,Related land development issues,,,
238,Land Developement Code Related Issues,,,
239,Land Development Code Related Issues,,,
240,Property Developer,,,
241,Contractor,,,
242,Business Owner & Property Developer,,,
244,Developer/Builder,,,
245,Engineer,,,
246,Business Owner,,,
248,Promotions,,,
249,Housing Authority,,,
251,Sign Contractor,,,
252,Florist,,,
254,Uniform Co,,,
257,Church,religious,,
258,Land use consulting,,,
260,Golf Course,,,
261,Pet Adoption,,,
262,Engineering,,,
263,On Demand Valet Parking Service,,,
266,Convention and Hospitality Management,,,
269,Workforce Solutions,,,
272,Facility Services,,,
273,Trade Association,,,
274,Prospective Taxi Franchise,,,
276,Title Company,,,
280,Land Management,,,
281,General Business,,,
282,Proposed Office Project,,,
283,Residential,,,
284,Land use,,,
286,Off-airport parking provider,,,
289,Solar energy provider,,,
290,Residential Entitlement,,,
291,Environmental Protection,,,
292,Environmental Advocacy,,,
293,Public Schools,,,
296,Lender,,,
303,Manufactured Home Community Builder,,,
305,"Engerneering, Consulting Professional Services",,,
306,Pharmaceutical Manufacturing and Healthcare,,,
304,Advertising,advertising,,
259,Airlines,airlines,,
175,Austin Film Industry,art,film,
197,Film Industry,art,film,
61,Live Music,art,music,
176,Live Music and Real Estate Development,art,music,
198,Music Industry,art,music,
147,Automaker,automotive,,
297,Automotive Sales,automotive,,
83,Banking Association,banking,,
105,Banking/Finance,banking,,
,original,category1,category2,
118,Wireless Communications Services,communications,,
268,Wireless Infrastructure,communications,,
124,Apartment Development,construction,,
247,Architect,construction,,
117,Builder,construction,,
253,Builders,construction,,
243,Building Contractor,construction,,
278,Building Products,construction,,
33,Construction,construction,,
298,Construction Firm,construction,,
270,Construction Procurement Solutions,construction,,
271,Construction Services,construction,,
