Cluster ID,confidence_score,Start,End,Lobbyist,Client,Industry,ClientAddress,canonical_Client,canonical_ClientAddress,canonical_Lobbyist,canonical_Start,canonical_Industry,canonical_End
1,0.86130935616,2013-12-20,2014-12-20,Richard Suttle,Forestar (USA) Real Estate Group ,Land Development & Sales,"6300 Bee Cave Road Building 2, Suite 500
Austin, Texas 78746
(30.296447557000477, -97.83091419899966)",b'forestar (usa) real estate group',"b'6300 bee cave road building 2, suite 500 austin, texas 78746 (30.296418, -97.830654)'",b'alexandra jashinsky',b'2015-01-20',b'land development & sales',b'2016-01-06'
9,0.913050396102,2013-12-20,2014-12-20,Richard Suttle,Tierra Concepts,Real Estate Investment/Development,"8917 Old Lampass Trail #28
Austin, Texas 78750
(30.421193125000457, -97.7965971159997)",b'tierra concepts',"b'8917 old lampass trail #28 austin, texas 78750'",b'lynn carley',b'2014-01-07',b'real estate investment/development',b'2016-01-06'
2,0.879305504836,2013-12-20,2014-12-20,Richard Suttle,Majestic Realty,Real Estate Investment,"6836 Bee Caves Road, Suite 292
Austin, Texas 78746
(30.299531760000434, -97.8379697259997)",b'majestic realty',"b'6836 bee caves road, suite 292 austin, texas 78746 (30.29967, -97.838149)'",b'lynn carley',b'2015-01-06',b'real estate investment',b'2016-01-06'
3,0.899561541421,2013-12-20,2014-12-20,Richard Suttle,"Cullen, John",Real Estate Investment,"1703 West 5th Street, Suite 800
Austin, Texas 78703
(30.27491760500044, -97.76498148999968)","b'cullen, john'","b'1703 west 5th street, suite 800 austin, texas 78703 (30.274918, -97.764916)'",b'lynn carley',b'2014-01-07',b'real estate investment',b'2016-01-06'
4,0.891239425966,2013-12-20,2014-12-20,Richard Suttle,"The NRP Group, LLC",Real Estate Investment,"5309 Transportation Blvd.
Cleveland, Ohio 44125
(41.4156116260005, -81.61600761499966)","b'the nrp group, llc'","b'5309 transportation blvd. cleveland, ohio 44125 (41.416949, -81.616142)'",b'lynn carley',b'2014-01-07',b'real estate investment',b'2016-01-06'
5,0.864136636257,2013-12-20,2014-12-20,Richard Suttle,The Charter School Fund,Public School,"855 Broad Street #300
Boise, Ohio 83702
(43.627421849000484, -116.2062869239997)",b'the charter school fund',"b'855 broad street #300 boise, ohio 83702 (43.613616, -116.206248)'",b'lynn carley',b'2014-01-07',b'public school',b'2016-01-06'
7,0.870149510247,2013-12-20,2014-12-20,Richard Suttle,"Rice, Robert",Real Estate Investment,"54 Rainey Street #1004
Austin, Texas 78701
(30.257502318000434, -97.73926268999969)","b'rice, robert'","b'54 rainey street #1004 austin, texas 78701 (30.257341, -97.73931)'",b'lynn carley',b'2014-01-07',b'real estate investment',b'2016-01-06'
261,0.916536309889,2013-12-20,2014-12-20,Richard Suttle,"Wilkerson, Eric",Real Estate Investment,"P.O. Box 50076
Austin, Texas 78763
(30.29689283500045, -97.76702644799968)","b'wilkerson, eric'","b'p.o. box 50076 austin, texas 78763'",b'lynn carley',b'2014-01-07',b'real estate investment',b'2016-01-06'
11,0.904725355761,2013-12-20,2014-12-20,Richard Suttle,Riddell Family Limited Partnership,Real Estate Investment,"2028 East Ben White Blvd., Suite 508
Austin, Texas 78741
(30.21658755800047, -97.74330816099967)",b'riddell family limited partnership',"b'2028 east ben white blvd., suite 508 austin, texas 78741 (30.216557, -97.743295)'",b'lynn carley',b'2014-01-07',b'real estate investment',b'2016-01-06'
31,0.931829971927,2013-12-20,2014-12-20,Richard Suttle,Autoreturn,Real Estate Investment,"AP Billing, 375 Alabama Street, Suite 300
San Francisco, California 94110
(37.75279192300047, -122.41730717599972)",b'autoreturn',"b'ap billing, 375 alabama street, suite 300 san francisco, california 94110'",b'lynn carley',b'2014-01-07',b'real estate investment',b'2016-01-06'
