Start,End,Lobbyist,Client,Industry,Cluster,Address,Confidence,IndustryCat1,IndustryCat2
2013-12-20,2014-12-20,Richard Suttle,Tierra Concepts,Real Estate Investment/Development,9,"8917 Old Lampass Trail #28
Austin, Texas 78750
(30.421193125000457, -97.7965971159997)",0.913050396102,real estate,
2013-12-20,2015-12-23,Richard Suttle,"Cullen, John",Real Estate Investment,3,"1703 West 5th Street, Suite 800
Austin, Texas 78703
(30.27491760500044, -97.76498148999968)",0.899561541421,real estate,
2013-12-20,2014-12-20,Richard Suttle,The Charter School Fund,Public School,5,"855 Broad Street #300
Boise, Ohio 83702
(43.627421849000484, -116.2062869239997)",0.864136636257,education,
2013-12-20,2014-12-20,Richard Suttle,"Wilkerson, Eric",Real Estate Investment,261,"P.O. Box 50076
Austin, Texas 78763
(30.29689283500045, -97.76702644799968)",0.916536309889,real estate,
2013-12-20,2014-12-20,Richard Suttle,AutoReturn,Real Estate Investment,31,"AP Billing, 375 Alabama Street, Suite 300
San Francisco, California 94110
(37.75279192300047, -122.41730717599972)",0.931829971927,real estate,
2013-12-20,2014-12-20,Richard Suttle,Safeway,Real Estate Investment,92,"Real Estate Law Office, 5918 Stoneridge Mall Rd.
Pleasanton, California 94588
(37.69273091200046, -121.89835709899972)",0.932264949594,real estate,
2013-12-20,2014-12-20,Richard Suttle,Orangestone Bluegrass,Real Estate Investment,17,"5828 Balcones Drive, Ste 101
Austin, Texas 78731
(30.340456663000452, -97.75515580999968)",0.892927621092,real estate,
2013-12-20,2016-12-23,Richard Suttle,"Shapiro, Bobby and Jim",Real Estate Investment,19,"1000 East 4th Street
Austin, Texas 78702
(30.26325684800048, -97.73320159499968)",0.884277407612,real estate,
2013-12-20,2014-12-20,Richard Suttle,HPI Real Estate and Services Investment,Real Estate Investment,21,"3600 N. Capital of Texas Hwy, Bldg. B, Suite 250
Austin, Texas 78746
(30.334987060000458, -97.80662669599968)",0.903647248234,real estate,
2013-12-20,2014-12-20,Richard Suttle,Magellan Development Group,Real Estate Investment,568,"225 N. Columbus Drive, Suite 100
Chicago, Illinois 60601
(41.884323941000446, -87.62061813299965)",0.887101965291,real estate,
2013-12-20,2016-12-23,Richard Suttle,H-E-B,Real Estate,222,"646 South Main Avenue
San Antonio, Texas 78204
(29.417754239000487, -98.49582040599967)",0.920602858067,real estate,
2013-12-20,2014-12-20,Richard Suttle,CST Brands,Real Estate Investment,29,"1 Valero Way, Bldg. D, Ste. 200
San Antonio, Texas 78249
(29.58928635400048, -98.60785962799969)",0.890426946538,real estate,
2013-12-20,2015-12-23,Richard Suttle,Austin Baptist Church,Religious Assembly/Education,34,"823 Congress Suite 1111
Austin, Texas 78701
(30.270659408000483, -97.74181106699967)",0.866985946894,religious,
2013-12-20,2016-12-23,Richard Suttle,Amstar Group,Real Estate Investment/Development,39,"1050 17th Street, Suite 1200
Denver, Colorado 80265
(39.7485865970005, -104.99422913999967)",0.894896234785,real estate,
2013-12-20,2015-12-23,Richard Suttle,Blenheim,Real Estate Investment/ Development,41,"5949 Sherry Lane, Suite 1230
Dallas, Texas 75225
(32.86232755500049, -96.81010002499966)",0.901696733066,real estate,
2013-12-20,2015-12-23,Richard Suttle,Carma Texas,Real Estate Investment/Development,22,"9737 Great Hills Trail, Suite 260
Austin, Texas 78759
(30.39442428500047, -97.75220899899966)",0.902408118759,real estate,
