Date,Client,Cumulative
2010-06-24,Berns Commercial Properties,4
2010-06-24,Crescent Recourses,4
2010-06-24,"Crixell, Juan",4
2010-06-24,"Dawlett, Haythem",4
2010-06-24,"Jones, Eddie",4
2010-06-24,"Kelly, Mike",4
2010-06-24,"Lehmann, Sandy",4
2010-06-24,"Petty, Stephen",4
2010-06-24,"Robbins, Stewart",2
2010-06-24,"Schriber, Michael",4
2010-06-24,Stahl Bernal and Davies,4
2010-06-24,V and S Enterprises,4
2010-06-24,Versa Development,4
2010-09-14,IESI,4
2010-12-16,1600 West 38th,4
2010-12-16,MU 13,4
2010-12-16,Travis Entitlements,4
2011-04-14,VIA Motors,4
2011-04-21,"Gila, LLC dba Municipal Services Bureau",1
2011-04-21,Lone Star Cab Company,1
2011-04-21,Wal-Mart,1
2011-05-10,Carollo Engineers,2
2011-05-10,Credit Suisse Asset Management,4
2011-05-10,Denucci Constructors,4
2011-05-10,Forestar Real Estate Group,4
2011-05-10,Freescale,4
2011-05-10,HomeAway,4
2011-05-10,Koontz-McCombs,4
2011-05-10,Robert H. Theriot,4
2011-05-10,Shoreline Christian Center,4
2011-05-10,The RK Group,4
2011-05-10,Universal Health Services,4
2011-05-10,Wilfred Naddef,4
2011-08-16,Advance America - Cash Advance Centers,4
2011-08-17,408 Sterzing,4
2011-08-17,720 Lamar Place,4
2011-08-17,AECOM,4
2011-08-17,"Aguirre, Antolin",2
2011-08-17,Alex and Mark Calderon,4
2011-08-17,Amaz for Hair,4
2011-08-17,Anderson's Coffee,4
2011-08-17,Antolin Aguirre,2
2011-08-17,Asterisk Group,4
2011-08-17,Austin Flower Co.,2
2011-08-17,Austin's Pizza,4
2011-08-17,Avis Rent-A-Car,4
2011-08-17,Berns Commercial Properties,4
2011-08-17,Bouldin Creek Neighborhood Association,4
2011-08-17,Bradz Salon,4
2011-08-17,Bunkhouse Management,4
2011-08-17,Capelli Salon,4
2011-08-17,Capitol City Imports,4
2011-08-17,Caroline's,4
2011-08-17,Cathedral of Junk,4
2011-08-17,"Cobalt Partners, Limited",4
2011-08-17,"Connolly, III, James, D., (Trey) and Steve Rambo",2
2011-08-17,Contessa Gallery,4
2011-08-17,Criterion Development Partners,4
2011-08-17,Dennis Fagan Still and Moving Pictures,4
2011-08-17,Eanes Community Alliance,4
2011-08-17,Elan Hair Salon,4
2011-08-17,Estilio Valdez Salon,4
2011-08-17,Fineline Diversivied Development,2
2011-08-17,Fotowatio Renewable Ventures,4
2011-08-17,Franzetti Jewelers,4
2011-08-17,Garden Room,4
2011-08-17,Gemini Solar Development,4
2011-08-17,Grubb and Ellis Realty Investors,4
2011-08-17,"Highland Park West, Limited",4
2011-08-17,Insurance Auto Auctions,4
2011-08-17,John Calhoun Miller,2
2011-08-17,"Joseph Liemandt, Andra Liemandt",2
2011-08-17,Kerbey Lane Cafe,4
2011-08-17,Kerbey Lane Doll Shoppe,2
2011-08-17,"Keyes, Mary Alice",4
2011-08-17,LUCE,4
2011-08-17,Lee's Meat Market,4
2011-08-17,Leveland Homes,4
2011-08-17,"Liemandt, Joseph and Andra",2
2011-08-17,"Lorenz, Perry",4
2011-08-17,MTG Management,4
2011-08-17,Magic Carpet,4
2011-08-17,"Miller, John Calhoun",2
